,k,accuracy,precision,recall,f1
74,149,[0.99928149 0.99680664 0.99984033 1.         0.96423439],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.94995532],[0.99949752 0.99777059 0.99988827 1.         0.97433547]
75,151,[0.99928149 0.99680664 0.99984033 1.         0.96455373],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.95040214],[0.99949752 0.99777059 0.99988827 1.         0.97457045]
76,153,[0.99928149 0.99680664 0.99984033 1.         0.96463356],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.95051385],[0.99949752 0.99777059 0.99988827 1.         0.97462917]
77,155,[0.99928149 0.99680664 0.99984033 1.         0.96463356],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99977656 1.         0.95051385],[0.99949752 0.99777059 0.99988827 1.         0.97462917]
78,157,[0.99928149 0.99680664 0.9997605  1.         0.96463356],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99966484 1.         0.95051385],[0.99949752 0.99777059 0.99983239 1.         0.97462917]
79,159,[0.99928149 0.99680664 0.9997605  1.         0.96463356],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99966484 1.         0.95051385],[0.99949752 0.99777059 0.99983239 1.         0.97462917]
80,161,[0.99928149 0.99680664 0.99968066 1.         0.96463356],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99955312 1.         0.95051385],[0.99949752 0.99777059 0.99977651 1.         0.97462917]
81,163,[0.99928149 0.99680664 0.99968066 1.         0.96463356],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99955312 1.         0.95051385],[0.99949752 0.99777059 0.99977651 1.         0.97462917]
82,165,[0.99928149 0.99680664 0.99968066 1.         0.96479323],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.99955312 1.         0.95073727],[0.99949752 0.99777059 0.99977651 1.         0.97474661]
83,167,[0.99928149 0.99680664 0.99960083 1.         0.96479323],[0.99899554 0.99555111 1.         1.         1.        ],[1.         1.         0.9994414  1.         0.95073727],[0.99949752 0.99777059 0.99972062 1.         0.97474661]
84,169,[0.99928149 0.99672681 0.999521   1.         0.96479323],[0.99899554 0.99544039 1.         1.         1.        ],[1.         1.         0.99932968 1.         0.95073727],[0.99949752 0.99771499 0.99966473 1.         0.97474661]
85,171,[0.99928149 0.99672681 0.999521   1.         0.9649529 ],[0.99899554 0.99544039 1.         1.         1.        ],[1.         1.         0.99932968 1.         0.95096068],[0.99949752 0.99771499 0.99966473 1.         0.97486401]
86,173,[0.99928149 0.99672681 0.999521   1.         0.96503273],[0.99899554 0.99544039 1.         1.         1.        ],[1.         1.         0.99932968 1.         0.95107239],[0.99949752 0.99771499 0.99966473 1.         0.97492271]
87,175,[0.99928149 0.99672681 0.999521   1.         0.96511257],[0.99899554 0.99544039 1.         1.         1.        ],[1.         1.         0.99932968 1.         0.95118409],[0.99949752 0.99771499 0.99966473 1.         0.97498139]
88,177,[0.99928149 0.99672681 0.99944116 1.         0.9651924 ],[0.99899554 0.99544039 1.         1.         1.        ],[1.         1.         0.99921796 1.         0.9512958 ],[0.99949752 0.99771499 0.99960883 1.         0.97504007]
